id,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label,Attempted Category
56385,192.168.10.8-205.174.165.73-54119-444-6,192.168.10.8,54119,205.174.165.73,444,6,2017-07-06 17:28:33.132998,119991834,5523,5525,2866077,287,1274,0,518.9348180336762,204.2186053679498,267,0,0.0519457013574657,3.5946922509976678,23887.99224453891,92.0729322297049,10861.938444826685,112321.35712186791,9432176,3,119991834,21729.7779789932,158193.16527903534,9432951,493,119990963,21721.752896451835,158125.0231581268,9432176,582,5520,5,0,0,0,0,-20600,-20560,46.02813221439719,46.04480001530771,0,1274,259.44641564083906,296.9332713528188,88169.36763628673,0,2,0,5525,11047,0,0,0,1.0003621220351258,259.44641564084,518.9348180336774,0.051945701357466,1432968,2757,28177,0,0,0,0,259,0,0,8192,3294,5520,20,997842.0,831471.3076480752,1585781,409903,8143987.5,1821773.6475930535,9432176,6855799,-1,-1,119991834,Infiltration,-1
57378,192.168.10.8-205.174.165.73-54119-444-6,192.168.10.8,54119,205.174.165.73,444,6,2017-07-06 17:30:33.141244,119973135,4375,4375,2321360,0,1273,2,530.5965714285713,262.73046100789315,0,0,0.0,0.0,19348.99842368877,72.9329945408195,13712.782603726111,20459.264628809036,1163091,1,119973040,27428.678555098304,23471.16476434296,1196394,447,119972996,27428.668495656173,22573.217456993,1163557,527,4375,0,0,0,0,0,21964,21964,36.46649727040975,36.46649727040975,0,1273,265.29828571428607,323.8841271463973,104900.92781738366,0,0,0,4375,8750,0,0,0,1.0,265.2982857142857,530.5965714285715,0.0,1160680,2187,19543,0,0,0,0,265,0,0,0,3294,4375,0,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,239981381,Infiltration,-1
57553,192.168.10.8-205.174.165.73-54131-444-6,192.168.10.8,54131,205.174.165.73,444,6,2017-07-06 17:30:57.050017,119974830,3398,3398,1645530,279,1153,0,484.2642731018253,302.1903761816405,267,0,0.0821071218363744,4.581904100999797,13717.952340503422,56.64521466710976,17656.339955849886,122163.81703007536,9785751,1,119974830,35317.87753900498,171327.106159493,9786561,515,119974012,35317.63673829844,171453.1821191433,9785751,528,3394,4,0,0,0,0,2436,2436,28.32260733355488,28.32260733355488,0,1153,242.17319011183068,322.92414770916736,104280.00517369216,0,2,0,3398,6795,0,0,0,1.0,242.17319011183048,484.2642731018246,0.0821071218363743,822695,1694,15416,0,0,0,0,242,0,0,8192,3977,3394,20,824363.0,0.0,824363,824363,9785751.0,0.0,9785751,9785751,-1,-1,119974830,Infiltration,-1
58021,192.168.10.8-205.174.165.73-54119-444-6,192.168.10.8,54119,205.174.165.73,444,6,2017-07-06 17:32:33.147581,119993844,3812,3812,1752365,0,1271,2,459.6970094438617,246.74109603340935,0,0,0.0,0.0,14603.790841136815,63.53659276054195,15741.026367571849,23598.9370414638,841617,1,119993751,31486.158750983945,26456.434367785543,861387,288,119993708,31486.1474678562,25620.60807223056,842050,519,3812,0,0,0,0,0,10704,10704,31.76829638027097,31.76829638027097,0,1271,229.84850472193105,288.572099292289,83273.8564899587,0,0,0,3812,7624,0,0,0,1.0,229.84850472193077,459.6970094438615,0.0,1752365,3812,14603,0,0,0,0,229,0,0,0,3294,3812,0,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,360008427,Infiltration,-1
58051,192.168.10.8-205.174.165.73-54131-444-6,192.168.10.8,54131,205.174.165.73,444,6,2017-07-06 17:32:57.064155,118573317,3732,3733,1827185,0,1271,2,489.5994105037514,269.5997192294613,0,0,0.0,0.0,15409.748552450465,62.956828642990565,15886.02853697746,20191.090056367277,466018,5,118566517,31778.75020101847,19982.32179227349,483765,426,118573317,31772.05707395497,19424.65418815377,466527,549,3732,0,0,0,0,0,9104,9124,31.474197521184298,31.482631121806264,0,1271,244.7669122572005,310.2695437323207,96267.18976786244,0,0,0,3732,7465,0,0,0,1.0002679528403,244.76691225720023,489.59941050375136,0.0,1827185,3732,15410,0,0,0,0,244,0,0,0,3977,3732,0,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,238587455,Infiltration,-1
58371,192.168.10.8-205.174.165.73-54119-444-6,192.168.10.8,54119,205.174.165.73,444,6,2017-07-06 17:34:33.174568,119992821,2251,2251,929242,0,1272,2,412.81297201243785,304.94620018125374,0,0,0.0,0.0,7744.146626905287,37.51891123553133,26659.14707842702,478609.8092624419,30303653,1,119992708,53330.09244444448,676892.4619664376,30336832,315,119992724,53330.09955555556,675997.8057310991,30304162,476,2251,0,0,0,0,0,-20516,-20516,18.759455617765664,18.759455617765664,0,1272,206.40648600621944,298.4943302143231,89098.86517009736,0,0,0,2251,4502,0,0,0,1.0,206.40648600621947,412.8129720124389,0.0,116092,280,14520,0,0,0,0,206,0,0,0,3294,2251,0,34279906.5,11443443.5014494,42371643,26188170,19352139.5,15487778.920212042,30303653,8400626,-1,-1,480034391,Infiltration,-1
58430,192.168.10.8-205.174.165.73-54131-444-6,192.168.10.8,54131,205.174.165.73,444,6,2017-07-06 17:34:57.096588,119382036,1157,1157,319574,0,1271,2,276.2091616248917,265.2056252940694,0,0,0.0,0.0,2676.90190842448,19.38315074472344,51613.50453955896,688536.9002583307,24840267,1,119381536,103271.22491349482,972656.1247806044,24840764,352,119381511,103271.2032871973,971529.373310796,24840781,464,1157,0,0,0,0,0,23140,23140,9.69157537236172,9.69157537236172,0,1271,138.10458081244607,232.87964480179585,54232.928963010585,0,0,0,1157,2314,0,0,0,1.0,138.104580812446,276.209161624892,0.0,24544,88,8244,0,0,0,0,138,0,0,255,3977,1156,20,8742788.75,8670543.965068411,21709908,3735603,13557450.5,9693511.15094988,24840267,5373451,-1,-1,359428607,Infiltration,-1
59005,192.168.10.8-205.174.165.73-54119-444-6,192.168.10.8,54119,205.174.165.73,444,6,2017-07-06 17:36:33.183748,119995180,1818,1818,489110,0,1271,2,269.0374037403742,265.689426713887,0,0,0.0,0.0,4076.0803892289673,30.30121709888681,33011.05364511684,583232.1056399436,33242616,3,119995089,66040.2250963126,824469.4117215838,33259251,327,119995093,66040.22729774358,823758.0639805953,33243124,476,1818,0,0,0,0,0,-29176,-29176,15.150608549443405,15.150608549443405,0,1271,134.51870187018704,231.0540739084171,53385.98506967628,0,0,0,1818,3636,0,0,0,1.0,134.51870187018702,269.03740374037403,0.0,34918,129,9356,0,0,0,0,134,0,0,0,3294,1818,0,5863632.333333333,4482321.644614689,9355307,809115,14668222.0,16088210.302509444,33242616,5108213,-1,-1,600045930,Infiltration,-1
59018,192.168.10.8-205.174.165.73-54131-444-6,192.168.10.8,54131,205.174.165.73,444,6,2017-07-06 17:36:59.489150,69365637,1031,1031,307927,0,1271,2,298.6682832201747,270.0842381228301,0,0,0.0,0.0,4439.186509596963,29.726534479889512,33656.30131004371,341655.45991695195,13881406,6,69348991,67329.11747572817,482164.7132148528,13881901,369,69365010,67344.66990291266,481227.40325956605,13881815,462,1031,0,0,0,0,0,20620,20620,14.863267239944756,14.863267239944756,0,1271,149.3341416100874,242.4181457479716,58766.5573878848,0,0,0,1031,2062,0,0,0,1.0,149.3341416100873,298.6682832201746,0.0,21970,73,9553,0,0,0,0,149,0,0,255,3977,1030,20,16439831.0,0.0,16439831,16439831,13881406.0,0.0,13881406,13881406,-1,-1,431804770,Infiltration,-1
59475,192.168.10.8-205.174.165.73-54573-444-6,192.168.10.8,54573,205.174.165.73,444,6,2017-07-06 17:32:37.602009,78233714,48,52,11986,314,1460,0,249.70833333333337,423.4884990944244,267,0,6.038461538461539,37.06166643791607,157.22122050859045,1.2782213049478897,790239.5353535356,3643348.334346125,29543555,1,78233233,1664536.8723404256,5176657.015167652,29544027,4,78233134,1533983.0196078434,4985581.9727697,29544062,1,44,7,0,0,0,0,972,1052,0.6135462263749871,0.6646750785729026,0,1460,123.0,317.5211756240786,100819.69696969696,0,2,0,51,99,0,0,0,1.0833333333333333,123.0,249.70833333333331,6.038461538461538,3841,9,17296,0,0,0,0,119,0,3,8192,538,44,20,2024843.8,3093999.2093842234,7461188,3051,13621802.8,10178546.253227236,29543555,5662979,-1,-1,78233714,Infiltration,-1
59496,192.168.10.8-205.174.165.73-54119-444-6,192.168.10.8,54119,205.174.165.73,444,6,2017-07-06 17:38:33.195637,116393381,504,505,171434,0,1027,0,340.146825396825,232.86961315179025,0,0,0.0,0.0,1472.884441770791,8.668877829057994,115469.62400793648,2048734.261532032,49862595,3,116393295,231398.20079522865,2897153.7640252803,49863356,352,116393329,230939.14484126985,2894194.3825654727,49862595,525,503,0,0,0,0,0,10080,10100,4.330143137606768,4.338734691451226,0,1027,169.90485629336007,236.6726920473015,56013.96316091681,1,0,0,503,1009,0,0,0,1.001984126984127,169.90485629335976,340.1468253968254,0.0,24472,71,12880,0,0,0,0,169,0,0,0,3294,503,0,12494756.0,13302457.634780424,21901014,3088498,45701908.5,5884099.277082644,49862595,41541222,-1,-1,716456020,Infiltration,-1
63249,192.168.10.25-205.174.165.73-51325-444-6,192.168.10.25,51325,205.174.165.73,444,6,2017-07-06 17:53:36.453990,108011634,103,98,29715,100009,1448,0,288.49514563106806,537.3723263558207,2896,0,1020.5000000000002,1132.781079567806,1201.018771737126,1.8609106496805703,540058.1699999999,3775216.456023717,39443865,0,108011151,1058932.8529411766,5252512.744636109,39482626,1,108010830,1113513.7113402062,5375739.297889925,39443865,1,26,28,0,0,0,0,3308,3144,0.9536009796870584,0.907309669993512,0,2896,645.3930348258709,950.8759381492644,904165.049751244,0,2,0,54,200,0,0,0,0.9514563106796116,645.3930348258707,288.49514563106794,1020.5,12434,9,13427645,48840,24,207433,0,147,0,497,65535,764,42,32,1755214.2499999998,2120658.176500144,4501787,47564,25247222.0,10402437.669645546,39443865,14430536,-1,-1,108011634,Infiltration,-1
63690,192.168.10.25-205.174.165.73-51325-444-6,192.168.10.25,51325,205.174.165.73,444,6,2017-07-06 17:55:45.255326,86344514,59,58,12116,14715,1448,0,205.35593220338976,421.0014646019191,2896,0,253.70689655172413,603.0287883681226,310.7435406955907,1.3550368700899746,744349.2586206896,3008515.2959297043,28081340,1,86304329,1488005.6724137927,4141397.1661955584,28082781,1,86344514,1514816.035087719,4171254.029590968,28081340,4,30,22,0,0,0,0,1888,1856,0.6833091909000727,0.671727679189902,0,2896,229.32478632478637,517.5882205173075,267897.5660182729,0,0,0,52,117,0,0,0,0.9830508474576272,229.32478632478632,205.35593220338984,253.70689655172413,7173,5,377526315,12447,7,11956772,0,103,0,125,0,1081,34,0,5549095.2,8200283.278493537,18654932,2323,11696590.2,9256444.161497476,28081340,5981125,-1,-1,215145850,Infiltration,-1
64427,192.168.10.25-205.174.165.73-51325-444-6,192.168.10.25,51325,205.174.165.73,444,6,2017-07-06 17:57:46.725959,116123990,9452,4829,12870252,32796,1448,0,1361.643250105794,324.9165519687156,169,0,6.791468212880509,25.564638612914944,111114.40452571429,122.98061752786826,8131.932072829132,348088.448626101,30000472,0,116086927,12283.031107819284,428030.8313619907,30001319,0,116123990,24052.193454846725,598375.2828402409,30000472,0,322,322,0,0,0,0,-25216,23456,81.3957563807444,41.58486114712386,0,1448,903.5115188012082,693.495522653777,480936.0399408354,0,0,0,644,14281,0,0,0,0.5108971646212441,903.5115188012044,1361.6432501057975,6.791468212880513,64828,45,92675645,0,0,0,0,901,0,2,0,2956,9130,0,8229079.8,14122374.47077646,33161979,24232,14976360.4,11802739.313258523,30000472,5571996,-1,-1,366395959,Infiltration,-1
66835,192.168.10.8-205.174.165.73-1260-444-6,192.168.10.8,1260,205.174.165.73,444,6,2017-07-06 18:04:25.514724,66695827,32,34,11872,282,1460,0,371.00000000000006,505.9650631825189,267,0,8.294117647058824,45.73674963724116,182.2302915593205,0.9895671583770902,1026089.6461538456,5280456.166038295,37019172,2,66695413,2151464.9354838706,7548995.502819546,37019916,4,66695337,2021070.8181818188,7327578.026909244,37019172,2,29,4,0,0,0,0,652,692,0.4797901373949528,0.5097770209821374,0,1460,184.15151515151516,395.624617824066,156518.83822843828,0,2,0,33,65,0,0,0,1.0625,184.1515151515152,371.0,8.294117647058824,5446,12,8402,0,0,0,0,179,0,4,8192,492,29,20,376331.0,362570.0288109871,730747,6123,21666686.666666668,14898197.30443997,37019172,7268675,-1,-1,66695827,Infiltration,-1
67846,192.168.10.8-205.174.165.73-1260-444-6,192.168.10.8,1260,205.174.165.73,444,6,2017-07-06 18:07:13.896300,99651130,15,15,5100,0,1460,2,339.99999999999994,456.6248851237586,0,0,0.0,0.0,51.17854659550775,0.301050274091222,3436245.862068966,18285126.033913396,98506443,3,99650424,7117887.428571429,26304290.90425925,98506922,3,99650646,7117903.285714286,26304249.401544303,98506794,4,15,0,0,0,0,0,300,300,0.150525137045611,0.150525137045611,0,1460,170.0,361.3236203470369,130554.75862068968,0,0,0,15,30,0,0,0,1.0,170.0,340.0,0.0,2550,7,4459,0,0,0,0,170,0,0,255,652,14,20,570315.0,0.0,570315,570315,98506443.0,0.0,98506443,98506443,-1,-1,268032706,Infiltration,-1
